ot	addrs_numb	company
707	1	"Force10 Networks, Inc."
708	1	Segate Technology LLC
709	1	"EdgePoint Networks, Inc."
710	1	"CyberPower Systems, Inc."
711	1	"AXUS MICROSYSTEMS, INC."
712	1	Pano Logic
713	1	Nanoleaf
714	1	ACER TECHNOLOGIES CORP.
715	1	Accton Technology Corp
716	1	"Space Shuttle Hi-Tech Co., Ltd."
717	1	"LENOVO(BEIJING)CO., LTD."
718	1	Trapeze Networks
719	1	ADVANCED MICRO DEVICES
720	1	Advanced Digital Broadcast SA
721	1	TIVA MICROCOMPUTER CORP. (TMC)
722	1	"Data Robotics, Incorporated"
723	1	"Oray.com co., LTD."
724	1	Grandstream Networks Inc
725	1	V-ZUG AG
726	1	ProCurve Networking by HP
727	1	Traverse Technologies Australia
728	1	Asiarock Technology Limited
729	1	Excito Elektronik i Sk?ne AB
730	1	Cisco SPVTG
731	1	"Linkflex Co.,Ltd"
732	1	"ATEN INTERNATIONAL CO., LTD."
733	1	Lite-On Network Communication (Dongguan) Limited
734	1	DongGuan Ramaxel Memory Technology
735	1	FUJIFILM Business Innovation Corp.
736	1	Best IT World (India) Pvt Ltd
737	1	Kratos EPD
738	1	"Cray, Inc."
739	1	"vivo Mobile Communication Co., Ltd."
740	1	"Action Star Enterprise Co., Ltd."
741	1	"TECHNO SCOPE CO., LTD."
742	1	"Spreadtrum Communications (Shanghai) Co., Ltd."
